VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
England VS New Zealand,ODI # 72,Mike Hendrick,12,New Zealand,0,55,3,4.58,-,-,-,0,0
England VS New Zealand,ODI # 72,Chris Old,12,New Zealand,1,33,1,2.75,-,-,-,0,0
England VS New Zealand,ODI # 72,Geoff Boycott,9,New Zealand,1,24,1,2.66,-,-,-,0,0
England VS New Zealand,ODI # 72,Graham Gooch,3,New Zealand,1,8,0,2.66,-,-,-,0,0
England VS New Zealand,ODI # 72,Bob Willis,12,New Zealand,1,41,1,3.41,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Imran Khan,9,West Indies,1,43,1,4.77,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Sarfraz Nawaz,12,West Indies,1,71,1,5.91,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Sikander Bakht,6,West Indies,1,24,0,4.00,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Mudassar Nazar,10,West Indies,0,50,0,5.00,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Majid Khan,12,West Indies,2,26,0,2.16,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Asif Iqbal,11,West Indies,0,56,4,5.09,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Andy Roberts,9.2,Pakistan,2,41,2,4.39,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Michael Holding,9,Pakistan,1,28,1,3.11,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Colin Croft,11,Pakistan,0,29,3,2.63,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Joel Garner,12,Pakistan,1,47,0,3.91,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Collis King,7,Pakistan,0,41,0,5.85,-,-,-,0,0
Pakistan VS West Indies,ODI # 73,Viv Richards,8,Pakistan,0,52,3,6.50,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Kapil Dev,12,Sri Lanka,2,53,1,4.41,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Karsan Ghavri,12,Sri Lanka,0,53,0,4.41,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Mohinder Amarnath,12,Sri Lanka,3,40,3,3.33,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Bishan Bedi,12,Sri Lanka,2,37,0,3.08,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Srinivas Venkataraghavan,12,Sri Lanka,0,44,0,3.66,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Tony Opatha,10.1,India,0,31,3,3.04,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Ranjan Gunatilleke,9,India,1,34,0,3.77,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Bandula Warnapura,12,India,0,47,1,3.91,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Stanley De Silva,12,India,0,36,2,3.00,-,-,-,0,0
India VS Sri Lanka,ODI # 68,Somachandra De Silva,11,India,1,29,3,2.63,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Richard Hadlee,11,West Indies,2,41,1,3.72,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Ewen Chatfield,11,West Indies,0,45,1,4.09,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Lance Cairns,12,West Indies,1,48,2,4.00,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Jeremy Coney,12,West Indies,0,40,2,3.33,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Brian McKechnie,11,West Indies,0,46,1,4.18,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,John Morrison,3,West Indies,0,12,0,4.00,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Andy Roberts,12,New Zealand,2,43,3,3.58,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Michael Holding,12,New Zealand,1,29,1,2.41,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Colin Croft,12,New Zealand,1,38,1,3.16,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Joel Garner,12,New Zealand,0,45,2,3.75,-,-,-,0,0
New Zealand VS West Indies,ODI # 69,Collis King,12,New Zealand,1,38,1,3.16,-,-,-,0,0
Australia VS Canada,ODI # 70,Rodney Hogg,2,Canada,0,26,0,13.00,-,-,-,0,0
Australia VS Canada,ODI # 70,Alan Hurst,10,Canada,3,21,5,2.10,-,-,-,0,0
Australia VS Canada,ODI # 70,Geoff Dymock,8,Canada,2,17,1,2.12,-,-,-,0,0
Australia VS Canada,ODI # 70,Graeme Porter,6,Canada,2,13,2,2.16,-,-,-,0,0
Australia VS Canada,ODI # 70,Gary Cosier,7.2,Canada,2,17,2,2.31,-,-,-,0,0
Australia VS Canada,ODI # 70,John Valentine,3,Australia,0,28,1,9.33,-,-,-,0,0
Australia VS Canada,ODI # 70,Robert Callender,3,Australia,0,12,0,4.00,-,-,-,0,0
Australia VS Canada,ODI # 70,Cornelius Henry,10,Australia,0,27,2,2.70,-,-,-,0,0
Australia VS Canada,ODI # 70,John Vaughan,6,Australia,0,15,0,2.50,-,-,-,0,0
Australia VS Canada,ODI # 70,Jitendra Patel,4,Australia,0,20,0,5.00,-,-,-,0,0
England VS Pakistan,ODI # 71,Imran Khan,12,England,3,24,1,2.00,-,-,-,0,0
England VS Pakistan,ODI # 71,Sikander Bakht,12,England,3,32,3,2.66,-,-,-,0,0
England VS Pakistan,ODI # 71,Mudassar Nazar,12,England,4,30,0,2.50,-,-,-,0,0
England VS Pakistan,ODI # 71,Asif Iqbal,12,England,3,37,2,3.08,-,-,-,0,0
England VS Pakistan,ODI # 71,Majid Khan,12,England,2,27,3,2.25,-,-,-,0,0
England VS Pakistan,ODI # 71,Bob Willis,11,Pakistan,2,37,1,3.36,-,-,-,0,0
England VS Pakistan,ODI # 71,Mike Hendrick,12,Pakistan,6,15,4,1.25,-,-,-,0,0
England VS Pakistan,ODI # 71,Ian Botham,12,Pakistan,3,38,2,3.16,-,-,-,0,0
England VS Pakistan,ODI # 71,Chris Old,12,Pakistan,2,28,1,2.33,-,-,-,0,0
England VS Pakistan,ODI # 71,Phil Edmonds,3,Pakistan,0,8,0,2.66,-,-,-,0,0
England VS Pakistan,ODI # 71,Geoff Boycott,5,Pakistan,0,14,2,2.80,-,-,-,0,0
England VS Pakistan,ODI # 71,Graham Gooch,1,Pakistan,0,1,0,1.00,-,-,-,0,0
India VS New Zealand,ODI # 65,Richard Hadlee,10,India,2,20,2,2.00,-,-,-,0,0
India VS New Zealand,ODI # 65,Gary Troup,10,India,2,36,2,3.60,-,-,-,0,0
India VS New Zealand,ODI # 65,Lance Cairns,11.5,India,0,36,3,3.04,-,-,-,0,0
India VS New Zealand,ODI # 65,Brian McKechnie,12,India,1,24,3,2.00,-,-,-,0,0
India VS New Zealand,ODI # 65,Jeremy Coney,7,India,0,33,0,4.71,-,-,-,0,0
India VS New Zealand,ODI # 65,John Morrison,5,India,0,19,0,3.80,-,-,-,0,0
India VS New Zealand,ODI # 65,Mohinder Amarnath,12,New Zealand,1,39,1,3.25,-,-,-,0,0
India VS New Zealand,ODI # 65,Bishan Bedi,12,New Zealand,1,32,0,2.66,-,-,-,0,0
India VS New Zealand,ODI # 65,Srinivas Venkataraghavan,12,New Zealand,0,34,0,2.83,-,-,-,0,0
India VS New Zealand,ODI # 65,Karsan Ghavri,10,New Zealand,1,34,0,3.40,-,-,-,0,0
India VS New Zealand,ODI # 65,Kapil Dev,11,New Zealand,3,38,0,3.45,-,-,-,0,0
