Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Deon Kotze,82.0,13.67,76.71,0,0,27.0,135.0,23
Derek Pringle,50.0,7.14,50.14,0,0,18.0,75.0,11
Derek Randall,64.0,12.8,50.19,0,0,42.0,91.0,19
Dermot Reeve,117.0,16.71,90.4,0,0,35.0,135.0,20
Deryck Murray,108.0,27.0,63.24,0,1,61.0,156.0,39
Desmond Chumney,95.0,15.83,56.57,0,0,28.0,162.0,27
Desmond Haynes,854.0,34.16,58.23,1,4,105.0,1485.0,60
Devendra Bishoo,6.0,2.0,18.18,0,0,6.0,15.0,5
Devon Conway,372.0,37.2,87.46,1,1,152.0,366.0,37
Devon Smith,399.0,39.9,68.95,1,4,107.0,536.0,54
Devon Thomas,41.0,6.83,42.12,0,0,15.0,76.0,13
Dhananjaya de Silva,248.0,17.71,71.38,0,0,34.0,358.0,26
Dilhara Fernando,33.0,4.71,62.39,0,0,13.0,42.0,6
Dilip Vengsarkar,252.0,25.2,67.36,0,1,63.0,332.0,34
Dilshan Madushanka,28.0,4.67,53.82,0,0,19.0,67.0,12
Dimuth Karunaratne,274.0,24.91,51.48,0,2,97.0,386.0,36
Dinesh Chandimal,52.0,52.0,216.66,0,1,52.0,24.0,24
Dinesh Karthik,14.0,7.0,56.44,0,0,8.0,34.0,17
Dinesh Mongia,120.0,20.0,72.94,0,0,42.0,209.0,35
Dion Ebrahim,79.0,15.8,50.51,0,0,32.0,123.0,25
Dion Nash,50.0,8.33,47.47,0,0,21.0,98.0,17
Dipak Chudasama,106.0,17.67,70.66,0,0,34.0,178.0,30
Dipak Patel,97.0,8.82,67.17,0,0,40.0,130.0,12
Dirk Viljoen,5.0,5.0,38.46,0,0,5.0,13.0,13
Dominic Cork,36.0,12.0,74.74,0,0,19.0,46.0,16
Don Anurasiri,21.0,4.2,67.03,0,0,11.0,39.0,8
Don Pringle,5.0,2.5,45.83,0,0,3.0,15.0,8
Doug Walters,88.0,22.0,47.54,0,1,59.0,140.0,35
Dougie Brown,64.0,21.33,40.55,0,0,45.0,102.0,34
Dougie Marillier,41.0,10.25,59.89,0,0,21.0,56.0,14
Douglas Hondo,3.0,0.75,30.55,0,0,2.0,26.0,7
Duleep Mendis,412.0,25.75,59.17,0,3,64.0,591.0,37
Duncan Fletcher,191.0,31.83,53.87,0,2,71.0,289.0,49
Dunith Wellalage,12.0,4.0,49.07,0,0,10.0,18.0,6
Dushan Hemantha,4.0,2.0,66.67,0,0,4.0,4.0,2
Dushmantha Chameera,20.0,3.33,41.3,0,0,12.0,53.0,9
Dwaine Pretorius,3.0,1.5,70.0,0,0,2.0,6.0,3
Dwayne Bravo,169.0,18.78,88.1,0,0,40.0,195.0,22
Dwayne Leverock,10.0,5.0,20.77,0,0,9.0,39.0,20
Dwayne Smith,142.0,14.2,92.32,0,0,32.0,146.0,15
Ed Joyce,574.0,33.76,58.83,1,5,112.0,735.0,44
Ed Rainsford,1.0,1.0,100.0,0,0,1.0,1.0,1
Eddie Hemmings,4.0,4.0,133.33,0,0,4.0,3.0,3
Eddo Brandes,120.0,10.0,67.49,0,0,23.0,163.0,14
Edgar Schiferli,75.0,12.5,72.51,0,0,22.0,111.0,19
Ehsan Adil,15.0,15.0,68.18,0,0,15.0,22.0,22
Ehsanul Hoque,28.0,7.0,34.12,0,0,13.0,72.0,18
Eknath Solkar,21.0,10.5,76.76,0,0,13.0,44.0,22
Eldine Baptiste,14.0,14.0,70.0,0,0,14.0,20.0,20
Elijah Otieno,13.0,2.6,17.1,0,0,8.0,37.0,8
Elton Chigumbura,235.0,18.08,89.71,0,0,38.0,261.0,21
Enamul Haque,59.0,14.75,68.1,0,0,19.0,102.0,26
Eoin Morgan,672.0,24.89,60.78,1,4,148.0,792.0,30
Eric Gouka,19.0,9.5,27.14,0,0,19.0,36.0,18
Eric Szwarczynski,81.0,16.2,56.78,0,0,28.0,151.0,31
Eric Upashantha,16.0,8.0,36.7,0,0,11.0,42.0,21
Evin Lewis,131.0,26.2,44.76,0,2,70.0,161.0,33
Ewen Chatfield,45.0,5.62,39.84,0,0,19.0,102.0,13
Fabian Allen,51.0,17.0,53.12,0,1,51.0,33.0,11
Faf du Plessis,926.0,44.1,81.23,2,9,109.0,1070.0,51
Fahad Alhashmi,0.0,0.0,0.0,0,0,0.0,0.0,0
Fakhar Zaman,406.0,33.83,73.85,1,3,126.0,406.0,34
